feature_name,importance_gain,importance_split
ym_rank_D_130_max,153.65736600011587,39.0
ym_rank_D_145_min,153.53085502386094,19.2
ym_rank_B_5_last,153.50725177228452,42.0
ym_rank_D_42_max,153.44041672945022,26.2
B_40_std,152.66872685607524,49.8
ym_rank_S_23_std,152.42334979735315,37.0
ym_rank_D_122_std,152.25589465498925,46.4
ym_rank_P_3_max,152.0985434398055,44.4
ym_rank_D_84_sum,152.07343474030495,29.6
ym_rank_D_131_max,151.72161335349082,17.0
diff_R_11_std,151.510749027133,47.0
S_15_max,151.05033606979995,31.6
B_3_std,150.65816182503477,34.8
ym_rank_P_4_sum,150.31207573264837,19.2
last3_D_39_std,150.26922404170037,33.2
B_18_last,150.15459530353547,9.0
last6_D_77_mean,150.0934460583143,52.2
rank_S_25_last,149.99859575927258,44.2
rank_D_42_last,149.70671999454498,28.4
last3_D_61_min,149.6549805134535,37.8
D_61_mean,149.47563034789636,41.0
ym_rank_D_123_sum,149.0021744519472,19.2
ym_rank_B_23_last,148.11030454933643,27.6
last6_S_15_mean,147.955565148592,40.2
diff_B_4_min,147.92680105995387,48.2
ym_rank_B_40_min,147.91412939280272,43.0
last3_B_2_sum,147.89968718625605,31.4
D_39_mean,146.85958742499352,38.4
ym_rank_S_23_min,146.55759139060973,33.0
B_17_last,145.87290062978863,40.8
last3_diff_D_46_mean,145.85477287210523,54.2
diff_S_12_std,145.70619234945624,50.2
S_23_mean,145.59677096679806,32.2
ym_rank_D_62_last,145.13013064265252,42.4
ym_rank_B_1_std,145.01006277799607,50.8
ym_rank_D_130_mean,144.59846810698508,24.0
ym_rank_P_3_sum,144.54606860131025,40.8
last6_D_39_mean,144.53624112606047,37.2
last3_diff_P_2_mean,144.50082435831428,44.8
ym_rank_D_122_last,144.22700381428004,49.6
D_44_mean,143.86112772226335,14.6
last3_B_3_max,143.70060877501965,19.6
D_47_last,143.6296392980963,48.2
diff_B_11_mean,143.47412563860416,24.2
last3_B_1_sum,143.3953485429287,16.2
diff_P_2_min,143.23998353481292,43.6
last3_D_41_max,143.20108797550202,16.2
ym_rank_D_43_std,143.15058673620223,52.8
rank_S_11_last,142.9985145330429,53.8
ym_rank_D_39_min,142.99345214366912,30.4
last6_P_3_std,142.72173232883216,50.6
D_42_sum,142.71700480878354,21.4
